Customer_Id,Customer_Name,Gender,Age,Location,Customer_Join_Date,Customer_Join_Year,Loyalty_Status
1,Christopher Lopez,Male,45,Lake Williamview,5/17/2022,2022,Silver
2,Lawrence Benson,Male,40,North Robert,7/18/2022,2022,Bronze
3,Allison Nguyen,Male,58,New Alexanderchester,12/16/2018,2018,Gold
4,Sean Alvarado,Female,61,West Raymondview,3/27/2018,2018,Silver
5,Robert Brown,Male,44,Josetown,1/17/2018,2018,Silver
6,David Sullivan,Male,33,Colemanstad,1/13/2018,2018,Bronze
7,Jonathan Walker,Male,66,Dannymouth,5/22/2020,2020,Gold
8,Kyle Lee,Female,36,Karenchester,2/7/2018,2018,Bronze
9,Michelle Holt,Male,70,Teresaside,4/9/2019,2019,Silver
10,Joshua Douglas,Male,61,Ruizbury,6/26/2021,2021,Gold
11,Joanne Williams,Female,48,New Davidchester,1/15/2021,2021,Gold
12,Tina Porter,Male,49,Nicholasland,11/9/2019,2019,Bronze
13,Brittany Mitchell,Female,30,Claytonstad,11/7/2020,2020,Gold
14,Karen Prince,Female,29,North Amberstad,9/13/2019,2019,Gold
15,Danielle Nichols,Female,68,North Jenniferland,11/2/2018,2018,Gold
16,Dustin Durham,Female,52,Calebside,5/6/2020,2020,Silver
17,Benjamin Mckinney,Male,50,Williamsfort,8/5/2021,2021,Bronze
18,James Williams,Male,59,East Cindy,5/22/2019,2019,Bronze
19,Cynthia Ward,Female,23,East Michael,4/4/2018,2018,Silver
20,Angie Harris,Male,54,East Bridgetberg,1/9/2020,2020,Gold
21,Jessica Roberts,Male,39,Lake Dustintown,5/4/2021,2021,Silver
22,Michael Lee,Female,58,New Angelaside,10/20/2021,2021,Silver
23,Hannah Young,Female,61,Lake Catherine,7/2/2018,2018,Silver
24,David Perry,Male,65,East Kelly,6/29/2020,2020,Gold
25,Daniel Gutierrez,Male,26,Lake Morgan,9/17/2020,2020,Silver
26,Richard Kelley,Female,24,South Timothybury,4/24/2018,2018,Gold
27,James Williams,Male,56,Wallacemouth,7/21/2019,2019,Silver
28,Kenneth Bennett,Male,69,Nelsonborough,5/12/2019,2019,Bronze
29,Jason Bailey,Male,70,North Elizabethberg,3/18/2020,2020,Silver
30,Donald Sawyer,Female,35,Port Jessica,5/24/2022,2022,Silver
31,John Knight,Female,54,Davishaven,4/11/2021,2021,Bronze
32,Patricia Brown,Female,21,Martinezfort,6/6/2022,2022,Gold
33,Alexis Grant,Female,61,Johnsonville,1/7/2022,2022,Gold
34,Curtis Braun,Female,25,North Paulton,7/15/2020,2020,Gold
35,Colleen Johnson,Female,30,Allentown,11/1/2017,2017,Silver
36,Michelle Johnson,Male,37,West Thomashaven,4/9/2020,2020,Gold
37,Joshua Price,Female,22,North Aaronshire,5/26/2021,2021,Bronze
38,Brandi Barrett,Male,32,Adamview,2/4/2020,2020,Gold
39,Jennifer Conner,Female,20,Port Kathleenchester,2/14/2022,2022,Silver
40,Gabrielle Russell,Male,47,South Chadberg,9/27/2019,2019,Silver
41,Jennifer Schaefer,Male,66,Lake Heather,8/4/2021,2021,Bronze
42,Adam Walker,Female,55,Aprilview,7/7/2018,2018,Bronze
43,Misty Gardner,Male,69,South Rachelborough,6/9/2018,2018,Gold
44,Kelly Morgan,Female,62,West Kellyport,5/7/2018,2018,Silver
45,Heather Horton,Female,58,Shannonshire,11/8/2017,2017,Gold
46,Kara Phillips,Male,29,New Ashleyburgh,2/26/2018,2018,Silver
47,Jesus Morgan,Female,23,Lake Isaac,9/29/2022,2022,Silver
48,Andrew Wang,Male,65,Tracystad,4/11/2019,2019,Bronze
49,Troy Rivera,Male,49,East Edwardside,7/12/2019,2019,Bronze
50,Anthony Young,Male,65,Port Zacharyside,5/15/2018,2018,Silver
51,Sarah Hernandez,Female,51,North Thomas,5/3/2019,2019,Silver
52,Casey Gilmore,Male,48,North Kristinafort,4/25/2019,2019,Gold
53,James Foster,Male,44,Jonathanburgh,10/30/2018,2018,Gold
54,Michael Thompson,Male,40,Port Christopher,11/6/2020,2020,Gold
55,Diana Saunders,Female,55,Sarahshire,1/14/2019,2019,Bronze
56,Sheri Leon,Male,69,Marissaport,4/24/2018,2018,Bronze
57,Brent Gray,Female,54,New Christinaport,2/19/2022,2022,Gold
58,Kurt Maxwell,Male,58,Jenniferfort,2/7/2023,2023,Gold
59,Vincent Simon,Male,21,West Mark,9/5/2018,2018,Silver
60,Janice Barnett,Male,27,Kristinburgh,5/25/2020,2020,Gold
61,Kayla Flowers,Male,52,Bishopside,1/27/2018,2018,Bronze
62,Daniel Mitchell,Male,23,South Davidland,9/16/2022,2022,Bronze
63,Patrick Salas,Male,49,North Kelly,9/6/2022,2022,Gold
64,Christopher Hayes,Male,52,Rodriguezside,6/24/2018,2018,Silver
65,Kevin Lara,Female,19,Timothyborough,5/22/2021,2021,Gold
66,William Diaz,Male,32,South Michelleside,2/26/2019,2019,Bronze
67,Michael White,Male,23,Rogersfurt,2/3/2021,2021,Bronze
68,Edward Orr,Male,51,Michaelland,3/16/2019,2019,Bronze
69,Michelle Jones,Female,57,Gonzalezshire,6/17/2018,2018,Bronze
70,Jared Hopkins,Female,40,Duaneton,8/17/2021,2021,Bronze
71,Matthew Allen,Female,35,Markshire,8/28/2021,2021,Silver
72,James Curtis,Male,43,Ryanland,4/24/2019,2019,Bronze
73,Abigail Jones,Male,24,East Kevin,12/11/2019,2019,Gold
74,Daniel Coleman,Female,54,South Scott,11/7/2019,2019,Silver
75,John Reed,Female,39,Hudsonville,5/20/2020,2020,Silver
76,Natasha Garcia,Female,58,Stacyside,12/13/2019,2019,Silver
77,Dylan Martinez,Female,23,Lake Leestad,8/16/2019,2019,Silver
78,Zachary Welch,Female,59,Hamiltonbury,7/21/2018,2018,Bronze
79,Bradley Wu,Male,26,Annetown,12/23/2017,2017,Gold
80,Michael Stevens,Male,35,Port Cynthialand,5/10/2018,2018,Gold
81,John Osborne,Male,32,New Theodoreshire,7/14/2022,2022,Silver
82,John Rodriguez,Male,24,Dawsonhaven,7/2/2019,2019,Bronze
83,Robin Lindsey,Female,43,North Tommy,1/27/2020,2020,Silver
84,Tracey Robinson,Male,27,South John,12/10/2021,2021,Bronze
85,Teresa Castillo,Male,58,Lake William,12/16/2017,2017,Silver
86,James Parker,Male,32,Kathrynville,1/11/2021,2021,Bronze
87,Valerie Moran,Female,66,Hendersonton,10/5/2021,2021,Gold
88,Eric Hensley,Male,64,Spenceville,4/21/2020,2020,Gold
89,Joseph Braun,Male,55,Combstown,1/10/2021,2021,Bronze
90,Derrick Thomas,Female,42,Donnafurt,4/4/2020,2020,Gold
91,Lisa Macias,Female,43,Port Kyleberg,11/19/2021,2021,Silver
92,Christina Wright,Female,51,Amandaburgh,4/5/2019,2019,Silver
93,Beverly Sanders,Female,35,Robertbury,8/2/2022,2022,Gold
94,Joseph Spencer,Male,30,South Adrian,11/28/2021,2021,Silver
95,Jennifer Collins,Male,51,Jacobton,10/7/2020,2020,Silver
96,Brittany Jones,Male,61,East Tammytown,6/14/2020,2020,Bronze
97,Joshua Boone,Female,43,West Mary,12/11/2021,2021,Bronze
98,Joseph Sharp,Male,59,South Jim,7/14/2020,2020,Silver
99,Jeffrey Lee,Male,33,Monicaburgh,11/22/2021,2021,Bronze
100,Sheri Brown,Female,27,East Carolinechester,2/18/2022,2022,Gold
101,Richard Cooper,Male,59,North Louis,4/23/2019,2019,Bronze
102,Adam Gregory,Male,56,Josephstad,6/22/2018,2018,Silver
103,Keith Schneider,Male,67,South Deannahaven,5/2/2021,2021,Bronze
104,Cheryl Conley,Male,22,Sherrishire,3/27/2022,2022,Gold
105,Melanie Gonzalez,Male,69,Sanchezborough,3/4/2022,2022,Silver
106,Julie Kim,Female,26,South Traceyborough,12/2/2018,2018,Bronze
107,Charles Vazquez,Female,38,North Nancymouth,1/28/2021,2021,Gold
108,Jay Parker,Male,57,Lopezchester,7/15/2022,2022,Bronze
109,Brittany Davis,Female,23,Crystalshire,5/27/2021,2021,Gold
110,Christopher Adams,Male,55,Lake Sean,1/8/2019,2019,Silver
111,Cory Black,Male,69,North Nancy,4/18/2022,2022,Silver
112,Carrie Price,Male,20,West Coreyburgh,7/25/2019,2019,Bronze
113,Ashley Spencer,Male,32,North Regina,2/6/2022,2022,Gold
114,Emily Bond,Female,43,Willismouth,1/17/2023,2023,Silver
115,Richard Campbell,Female,18,West Meganmouth,6/18/2019,2019,Gold
116,Troy Guerrero,Male,67,Simmonston,4/23/2022,2022,Gold
117,Jenna Mckay,Male,48,Whiteville,11/28/2017,2017,Gold
118,David Diaz,Male,54,Dustintown,9/19/2021,2021,Bronze
119,Stacey Reed,Male,59,Lake Cassieland,8/12/2020,2020,Gold
120,Daniel Sanchez,Female,41,Lake Kellyberg,1/9/2022,2022,Silver
121,Christina Miller,Female,18,Jennifertown,11/20/2020,2020,Bronze
122,Sophia Harper,Male,28,North Aimeeside,1/18/2019,2019,Gold
123,Zachary Ho,Male,39,Patriciaborough,3/25/2019,2019,Silver
124,Lauren Spence,Male,18,Lake Nicholas,4/6/2021,2021,Bronze
125,Sarah Murray,Male,65,Brianton,9/12/2021,2021,Bronze
126,Jennifer King,Male,46,Port Reginaville,7/19/2021,2021,Silver
127,Victoria Williamson,Female,55,Juarezfort,12/16/2018,2018,Bronze
128,Alicia Barrett,Male,28,Port Johnburgh,3/1/2019,2019,Silver
129,Tommy Jones,Female,48,Cherylfort,12/23/2018,2018,Bronze
130,Richard Allen,Female,63,Angelabury,6/5/2022,2022,Bronze
131,Sarah Smith,Male,61,New Carla,3/7/2020,2020,Gold
132,Rebecca Jackson,Female,43,Michaelstad,7/7/2021,2021,Gold
133,Robert Wallace,Male,52,Russellhaven,2/2/2022,2022,Gold
134,Megan Price,Female,29,Lyonsfurt,8/2/2019,2019,Gold
135,Tara Woods,Male,28,Port Valeriemouth,10/1/2017,2017,Silver
136,Jeremy Stanley,Male,48,Lake Robert,4/3/2019,2019,Gold
137,Breanna Flores,Male,33,Evanborough,7/8/2019,2019,Bronze
138,Courtney Myers,Male,55,Davidton,3/6/2020,2020,Bronze
139,Jason Cannon,Male,34,Rodneyport,11/12/2019,2019,Silver
140,Regina Wagner,Male,66,Chadville,5/9/2021,2021,Gold
141,Mark Ramirez,Female,65,Christopherborough,1/16/2023,2023,Gold
142,Kimberly Thomas,Female,43,West Jared,11/3/2018,2018,Silver
143,Raymond Weeks,Male,19,East Josephside,1/10/2022,2022,Gold
144,Jesse Williams,Female,48,West Michaelfort,7/1/2018,2018,Gold
145,Jill Johnson,Male,55,Caldwellfurt,5/24/2020,2020,Gold
146,Kyle Spencer,Male,55,Cummingschester,10/19/2021,2021,Silver
147,Keith Schneider,Female,23,Port Justin,12/18/2022,2022,Bronze
148,Morgan Bowen,Female,22,South Matthewfurt,6/9/2020,2020,Gold
149,Barry Jordan,Female,34,Portermouth,8/26/2021,2021,Gold
150,Donna Thomas,Female,38,Chelseabury,10/7/2021,2021,Silver
151,Leonard Knapp,Male,49,Hendersonville,4/13/2021,2021,Bronze
152,Angela Wright,Female,54,Wilsonfurt,11/17/2020,2020,Silver
153,Melissa Robinson,Female,63,Port Philiptown,4/24/2019,2019,Silver
154,Brian Woods,Female,46,Lake Margaretville,8/11/2022,2022,Bronze
155,Kristine Johnson,Male,62,Curryfort,12/16/2022,2022,Silver
156,Catherine Shah,Female,36,North Donald,6/29/2018,2018,Gold
157,Jason Peters,Female,67,Donaldside,3/20/2018,2018,Bronze
158,Kaitlyn Murray,Male,21,North Shannonshire,12/30/2017,2017,Bronze
159,David Callahan,Male,25,Port Joshuafort,10/7/2018,2018,Bronze
160,Gregory Hess,Male,39,South Robertton,4/15/2022,2022,Silver
161,Michael Myers,Male,20,Colemanfort,11/24/2017,2017,Silver
162,Eric Preston,Male,27,Hallfurt,7/21/2022,2022,Silver
163,Jack Santos,Male,41,Bennettbury,2/17/2022,2022,Silver
164,Robert Thomas,Female,70,Butlerside,8/8/2022,2022,Silver
165,Jasmine Contreras,Female,40,Port Meagan,4/14/2018,2018,Silver
166,Corey Brown,Female,25,Ellisshire,3/22/2021,2021,Gold
167,Lisa Williams,Male,56,New Deborah,1/27/2018,2018,Silver
168,James Castillo,Female,43,Thomasview,8/26/2019,2019,Silver
169,Michael Bishop,Female,53,West Jacob,7/4/2022,2022,Silver
170,Kathryn Duncan,Male,35,Beasleyfurt,3/24/2018,2018,Gold
171,Karl Gonzalez,Female,35,West Jamie,2/12/2019,2019,Silver
172,Christina Lara,Male,33,Mcbrideville,7/13/2020,2020,Gold
173,Stephen Perez,Male,34,South Aaron,11/13/2019,2019,Bronze
174,Matthew Hamilton,Male,26,Powersstad,11/12/2021,2021,Gold
175,Katherine Rodriguez,Male,51,Smithmouth,11/11/2019,2019,Gold
176,Isaiah Smith,Male,70,Port Anthony,5/2/2018,2018,Bronze
177,Heather Watts,Female,65,South Calvinton,12/16/2020,2020,Bronze
178,Rebecca Daniels,Female,33,New Timothyberg,11/7/2020,2020,Silver
179,Charles Smith,Female,66,Lake Territon,3/6/2023,2023,Gold
180,Michael Ortiz,Male,49,East Michelle,8/27/2020,2020,Bronze
181,John Marshall,Male,40,Vasquezfurt,4/27/2020,2020,Bronze
182,Julie Smith,Female,42,North Michelleside,3/4/2020,2020,Bronze
183,Teresa Simon,Male,22,East Marieton,1/5/2022,2022,Gold
184,Daniel Martinez,Male,63,New Alexandriaberg,2/20/2022,2022,Bronze
185,Shannon Sanchez,Female,67,East Sherryside,10/20/2018,2018,Silver
186,Jason Spencer,Male,37,Rogersville,10/16/2021,2021,Silver
187,Marc Peterson,Male,43,East Jeffreyview,9/13/2019,2019,Bronze
188,Joshua Hinton,Female,65,Lake Scottchester,2/8/2023,2023,Gold
189,Patrick Banks,Male,53,Mcmillanview,6/9/2022,2022,Gold
190,Austin Hernandez,Female,19,Randyside,3/5/2021,2021,Bronze
191,Douglas Adams,Female,32,North Douglasbury,9/19/2022,2022,Bronze
192,Paul Erickson,Male,46,South Matthew,4/16/2019,2019,Gold
193,Dylan Baker,Male,67,West Ruthville,5/21/2021,2021,Gold
194,Bradley Roth,Female,59,Campbellborough,3/8/2020,2020,Gold
195,Lisa Anderson,Male,60,West Amy,5/19/2021,2021,Bronze
196,Sierra Shaw,Female,68,Normanhaven,8/29/2021,2021,Gold
197,Johnny Cook,Female,34,East Jennifer,3/22/2020,2020,Silver
198,Justin Randolph,Male,51,Lake Jeremyshire,9/13/2019,2019,Silver
199,Adrian Simmons,Male,36,North Pamela,3/2/2020,2020,Silver
200,Samantha Dennis,Female,23,Rhondashire,10/6/2022,2022,Silver
201,Colin Brown,Female,57,Lawrencebury,8/14/2021,2021,Gold
202,Angela Duffy,Male,62,Josehaven,9/25/2020,2020,Bronze
203,Joe Butler,Male,47,Lake Joshuaburgh,4/3/2022,2022,Silver
204,Wayne Ward,Male,40,Larsonland,2/27/2022,2022,Bronze
205,Holly Wood,Male,34,Port Davidburgh,12/23/2020,2020,Gold
206,Jacob Jensen,Male,50,New Sabrinaside,4/9/2021,2021,Gold
207,Jason Keith,Female,58,Joannamouth,2/8/2018,2018,Silver
208,Aaron Zimmerman,Male,41,Ernestfort,11/11/2019,2019,Bronze
209,Courtney Lee,Male,28,Christopherville,1/14/2020,2020,Silver
210,Tracy Johnson,Female,31,Timothyburgh,8/7/2022,2022,Silver
211,Alexandra Schultz,Female,43,South Tylermouth,7/30/2022,2022,Gold
212,Joshua Davis,Male,20,Joshuaport,2/27/2023,2023,Bronze
213,Johnny Conner,Female,33,Georgefurt,2/26/2023,2023,Gold
214,Ashley Sanders,Female,49,New Brian,7/2/2022,2022,Gold
215,Christine Monroe,Male,18,Samanthaport,6/12/2019,2019,Silver
216,Katie Schmidt,Male,47,Warrenfurt,4/25/2020,2020,Gold
217,Eric Johns,Male,40,New Staceyport,9/15/2022,2022,Gold
218,Glenn Davenport,Male,66,New Alexis,8/11/2020,2020,Bronze
219,Chad Kelly,Female,28,Nelsonside,12/16/2017,2017,Gold
